,0
285,5393.3474
286,5637.1435
287,5672.645
288,5732.6753
289,5380.6457
290,5698.8403
291,6493.2204
292,8564.9809
293,12047.927
294,20241.253
295,35235.145
296,54601.407
297,82820.036
298,116844.56
299,162306.62
300,205176.09
301,242419.58
302,272190.87
303,290175.95
304,288015.43
305,274206.57
306,241066.51
307,200872.4
308,158201.95
309,114045.44
310,80221.554
311,52974.257
312,34530.569
313,21720.638
314,14864.894
315,11163.678
316,9479.9607
317,8532.8486
318,8173.3664
319,7048.2388
320,7161.0952
321,7059.1682
322,7402.7336
323,7073.8137
324,7216.6387
325,7433.0366
326,7164.7226
327,7012.5303
328,7017.956
329,7082.1633
330,7016.6682
331,7631.1816
332,8044.2139
333,7683.0503
334,7903.137
335,8396.5828
336,8438.0137
337,8363.1931
338,8568.5779
339,8309.9243
340,7900.76
341,8096.6609
342,8221.8884
343,7740.1653
344,7864.2141
345,7653.3227
346,7563.8982
347,7721.3288
348,7648.2815
349,7639.1282
350,7057.9277
351,7222.4665
352,6751.6111
353,6796.031
354,7065.6631
355,6825.2373
356,6813.5745
357,6911.7163
358,6525.2854
359,6001.9346
360,5979.6428
361,6146.1282
362,6305.8445
363,6046.3037
364,6126.5171
365,6343.5322
366,6002.6645
367,6325.5417
368,6122.0754
369,6144.5395
370,5996.2222
371,6177.4932
372,5920.0644
373,5316.9285
374,5564.3005
375,5497.9648
376,5029.2517
377,5175.1272
378,5085.8513
379,5108.6877
380,5107.5742
381,4654.6008
382,5071.9751
383,4567.6472
384,4678.6885
385,4903.6111
386,4305.4529
387,4048.4348
388,4735.7231
389,4525.1189
390,4279.1721
391,4447.9233
392,4141.9553
393,4495.1059
394,4252.7029
395,4090.6531
396,4172.4311
397,3866.7156
398,3700.4199
399,3695.6538
400,3500.011
401,3340.3166
402,3420.5188
403,3404.1245
404,3323.7185
405,3258.7842
406,3602.4426
407,3231.4084
408,3577.5166
409,3282.9412
410,3071.5676
411,2981.9907
412,3013.9873
413,3215.5283
414,3063.582
415,2908.5954
416,3364.2207
417,2821.4224
418,2933.946
419,2953.3762
420,2726.8474
421,2730.8801
422,2759.0547
423,2803.3552
424,2466.335
425,2716.8142
426,2543.8411
427,2406.3603
428,2771.866
429,2435.6169
430,2541.5474
431,2728.9822
432,2430.258
433,2559.4712
434,2431.0767
435,2494.3857
436,2318.9636
437,2493.0364
438,2474.7583
439,2413.4275
440,2393.9382
441,2653.9744
442,2189.0007
443,2565.0581
444,2379.3486
445,2259.383
446,2305.9692
447,2359.4897
448,2321.1709
449,2230.9673
450,2183.9341
