,0
285,5596.3852
286,5301.4949
287,5452.8662
288,5433.9045
289,5997.4631
290,6019.0996
291,6834.4477
292,8649.7051
293,12120.324
294,19244.329
295,33545.236
296,53523.921
297,81102.085
298,117874.83
299,158514.05
300,206445.22
301,244768.52
302,274380.39
303,294007.65
304,293536.36
305,277346.73
306,243889.01
307,201077.62
308,162257.73
309,117171.91
310,81410.369
311,55712.126
312,37102.24
313,23424.997
314,16447.899
315,13668.563
316,11432.597
317,11224.902
318,11267.729
319,10690.832
320,12090.506
321,12337.429
322,12929.613
323,13083.838
324,13333.04
325,13791.989
326,13528.864
327,14238.403
328,13731.837
329,14837.383
330,15119.725
331,15199.6
332,15621.906
333,16031.564
334,16587.834
335,17687.035
336,16830.253
337,17676.934
338,17868.66
339,17844.318
340,17803.414
341,17854.523
342,17315.128
343,16757.074
344,16298.286
345,16284.901
346,16174.149
347,15990.448
348,15688.574
349,16108.238
350,15590.037
351,15120.436
352,15526.447
353,14693.495
354,14720.775
355,14673.487
356,14572.577
357,13335.869
358,13258.59
359,13259.862
360,13011.575
361,12490.579
362,11957.16
363,12513.088
364,11978.461
365,11837.833
366,12393.391
367,11288.633
368,11095.324
369,11042.522
370,10939.733
371,10337.148
372,10317.513
373,10290.175
374,10319.018
375,9498.7502
376,9392.6294
377,9104.3596
378,8777.5073
379,8507.3642
380,8059.0852
381,8256.5918
382,7652.072
383,7954.1955
384,7629.0649
385,7176.5249
386,7097.4397
387,7575.0361
388,6742.9206
389,7322.2754
390,6985.2834
391,6498.2161
392,6534.1802
393,5864.9954
394,5996.6506
395,5919.5845
396,5781.1916
397,5594.3953
398,5512.9451
399,5523.9321
400,5678.0764
401,5195.4316
402,5729.0027
403,5587.9814
404,5572.7825
405,5561.4831
406,5433.948
407,5336.1013
408,5320.6672
409,5351.9336
410,4946.4018
411,5210.2363
412,5074.135
413,5282.2305
414,4830.9885
415,5094.5078
416,4495.073
417,5178.9626
418,4805.6496
419,4733.1746
420,4300.5554
421,4471.1675
422,4707.8088
423,4710.6767
424,4853.4451
425,4553.6609
426,4447.8584
427,4565.9099
428,4792.2854
429,4920.2739
430,4668.4521
431,4195.2012
432,4494.9568
433,4379.8716
434,4517.7419
435,4454.5222
436,4329.9858
437,4330.3977
438,4399.1377
439,4249.9031
440,4340.9629
441,3978.4404
442,3928.7566
443,3864.5364
444,4047.0747
445,3973.3064
446,4083.8989
447,4213.6064
448,3768.0461
449,3914.6533
450,3883.0415
