,0.10985083
285,6166.2236
286,5354.2312
287,5758.27
288,5922.4206
289,6572.9077
290,6374.9465
291,7391.678
292,8801.3811
293,12590.628
294,21259.235
295,34191.238
296,54006.968
297,82075.624
298,117941.82
299,158694.47
300,205658.23
301,244765.94
302,277188.34
303,296417.82
304,291361.32
305,276444.44
306,244906.51
307,201124.3
308,160494.46
309,113866.92
310,80970.47
311,53947.368
312,33836.907
313,22345.671
314,16518.957
315,12698.156
316,11102.125
317,9978.0146
318,9439.3718
319,9656.1157
320,8818.9253
321,9844.2551
322,9277.2971
323,9259.5994
324,9607.1797
325,9481.6362
326,9523.9497
327,9313.1377
328,9142.6638
329,9880.0854
330,9940.2993
331,9632.6362
332,9463.7224
333,10117.659
334,9779.9871
335,10264.674
336,10241.846
337,10831.334
338,11024.514
339,10172.334
340,10490.978
341,10675.659
342,10709.869
343,10635.248
344,9911.4158
345,9896.1091
346,9541.2546
347,9883.8791
348,9531.6606
349,9774.5024
350,9010.667
351,9298.425
352,9286.1716
353,9370.541
354,8747.4067
355,8667.6282
356,8747.1284
357,8632.4265
358,8707.5671
359,7797.9592
360,8289.0024
361,7858.7776
362,8299.397
363,8309.8415
364,7968.0688
365,8017.8894
366,7701.1426
367,8139.4067
368,7923.8369
369,7492.5664
370,8097.762
371,7389.6882
372,7266.543
373,6968.0002
374,7061.3677
375,7027.1584
376,6804.7251
377,6595.1213
378,6479.0845
379,6388.7663
380,6136.1428
381,5937.8403
382,6377.3823
383,6173.4761
384,6038.5852
385,5841.4055
386,5798.1252
387,5540.9009
388,5729.5
389,5528.0788
390,5650.9646
391,5414.2449
392,5902.8494
393,5833.4377
394,5161.9165
395,5004.9016
396,5292.6411
397,5342.5102
398,5279.9941
399,5164.2085
400,5019.6147
401,4938.1807
402,5162.2202
403,4699.1582
404,4788.314
405,4897.0874
406,4448.7656
407,4556.0266
408,4785.2878
409,4554.9873
410,4369.5105
411,4789.406
412,4313.0732
413,4517.2966
414,4729.1772
415,4575.0574
416,4494.8457
417,4010.2131
418,4581.5808
419,4187.0254
420,4297.0967
421,4096.522
422,3928.5635
423,4258.0417
424,4174.2261
425,4392.5803
426,4442.7417
427,4042.4829
428,4083.3174
429,4076.0769
430,4264.1406
431,4123.1345
432,3905.9326
433,3846.0122
434,4023.5815
435,4048.0466
436,3990.0286
437,4092.3879
438,4459.6787
439,3860.8332
440,4045.2419
441,3836.7502
442,3916.9778
443,4199.0806
444,3948.1147
445,4124.7136
446,3873.7996
447,3671.1045
448,3594.8435
449,3803.4304
450,4042.2038
