,0
285,6086.7129
286,5808.8962
287,6164.2383
288,6181.9006
289,6721.9766
290,7442.592
291,7799.1897
292,10087.261
293,14212.375
294,22100.992
295,37327.499
296,57923.811
297,84766.036
298,120913.16
299,159916.41
300,204382.92
301,242465.73
302,278135.04
303,294861.9
304,292356.17
305,275860.5
306,247378.09
307,208131.22
308,165185.49
309,122698.41
310,88320.919
311,60205.78
312,42373.073
313,28933.407
314,22238.555
315,17900.898
316,16183.754
317,15627.246
318,14358.703
319,15343.451
320,14464.233
321,14820.64
322,14769.147
323,14650.409
324,15059.557
325,15463.099
326,15899.442
327,15632.906
328,15531.878
329,15933.066
330,15992.132
331,17037.305
332,17120.44
333,17650.478
334,17549.033
335,18379.382
336,18556.732
337,19307.353
338,18999.735
339,18964.215
340,19057.118
341,18832.135
342,19668.909
343,19301.457
344,18994.667
345,19611.844
346,19496.314
347,19246.906
348,19167.277
349,19290.269
350,19209.133
351,19294.864
352,19800.11
353,19255.941
354,19563.69
355,18832.947
356,19471.992
357,18512.917
358,19276.253
359,19308.381
360,18083.346
361,17943.399
362,17403.784
363,17566.024
364,17833.528
365,17818.231
366,18054.526
367,18216.218
368,16502.597
369,17145.708
370,18211.345
371,16543.992
372,16604.344
373,15707.518
374,15879.611
375,15711.757
376,15055.276
377,15283.744
378,14468.979
379,15075.567
380,15186.006
381,14024.588
382,13678.857
383,13517.804
384,14050.813
385,13675.343
386,13477.905
387,12982.398
388,12986.128
389,12691.486
390,12495.653
391,12559.344
392,12468.997
393,11809.923
394,11877.31
395,11536.401
396,11520.389
397,11236.718
398,11046.05
399,10733.615
400,10529.655
401,10976.153
402,9778.5837
403,10151.632
404,9400.0574
405,9651.6931
406,9661.6899
407,9504.3821
408,9811.9131
409,8978.4892
410,9500.8828
411,8975.1145
412,9155.5998
413,9145.4895
414,9174.4504
415,8503.8513
416,8611.833
417,8335.2873
418,8615.2268
419,8372.8171
420,8151.251
421,7530.8494
422,7638.25
423,7714.8821
424,7599.8852
425,7562.3516
426,7308.0871
427,7509.9831
428,7690.5063
429,7639.5349
430,7728.5708
431,7288.4534
432,6870.8003
433,7282.2141
434,6158.5195
435,6977.043
436,6994.1174
437,7275.6975
438,6453.4167
439,6910.0933
440,7256.7844
441,6967.2192
442,6733.7268
443,6683.1794
444,6909.6902
445,6394.335
446,6603.331
447,6301.0925
448,6377.9563
449,6335.5181
450,6240.1199
